year,reports
1965,14
1966,18
1967,13
1968,29
1969,41
1970,57
1971,46
1972,39
1973,29
1974,32
1975,29
1976,59
1977,76
1978,52
1979,95
1980,105
1981,366
1982,769
1983,1088
1984,1102
1985,1900
1986,2293
1987,843
1988,4
1990,4
1991,8
1992,2
1993,14
1994,5
1995,6
1996,15
1997,11
1998,16
1999,9
2000,11
2001,9
2002,7
2003,19
2004,20
2005,64
2006,26
2007,36
2008,12
2009,29
2010,31
2011,195
2012,196
2013,183
2014,361
2015,277
2016,275
2017,364
2018,875
2019,1244
2020,881
2021,6277
2022,4656
2023,2471
2024,1793
